"CASRN"	"DTXSID"	"Chemical_Name"	"LD50_mgkg"	"test_type"
"100-74-3"	"DTXSID5025312"	"N-Ethylmorpholine"	1490	"limit test (greater than)"
"100-74-3"	"DTXSID5025312"	"N-Ethylmorpholine"	1780	"point estimate"
"100-74-3"	"DTXSID5025312"	"N-Ethylmorpholine"	2120	"limit test (less than)"
"100-86-7"	"DTXSID1047601"	"2-Methyl-1-phenylpropan-2-ol"	1280	"point estimate"
"100-87-8"	"DTXSID2059221"	"Benzenemethanesulfonic acid"	1000	"limit test (greater than)"
"100-89-0"	"DTXSID30861707"	"Tri(2-methyl-2,4-pentanediol)biborate"	4724	"point estimate"
"100-95-8"	"DTXSID20878647"	"Dodecarbonium Chloride"	100	"point estimate"
"100-97-0"	"DTXSID6020692"	"Methenamine"	5000	"limit test (greater than)"
"100-97-0"	"DTXSID6020692"	"Methenamine"	9200	"point estimate"
"100-97-0"	"DTXSID6020692"	"Methenamine"	20000	"limit test (greater than)"
"1000-70-0"	"DTXSID0061379"	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	1728	"point estimate"
"10004-44-1"	"DTXSID3032622"	"Hymexazol"	3112	"point estimate"
"100093-45-6"	"DTXSID90142928"	"Benzoic acid, 2,2'-((2-((3,4-dimethoxyphenyl)methylene)-1,3-dioxo-1,3-propanediyl)diimino)bis-"	10000	"limit test (greater than)"
"1001-55-4"	"DTXSID00142939"	"(Acetyloxy)acetonitrile"	32	"point estimate"
"10017-11-5"	"DTXSID60872280"	"Allylamine hydrochloride (1:1)"	150	"point estimate"
"10018-78-7"	NA	NA	6500	"point estimate"
"100199-60-8"	"DTXSID20143004"	"Benzenemethanol, 4-(2-(1H-imidazol-1-yl)ethoxy)-"	4860	"point estimate"
"100217-51-4"	"DTXSID20143024"	"1-Phthalazinamine, N-(1-ethylpropyl)-4-phenyl-"	8000	"limit test (greater than)"
"10022-60-3"	"DTXSID8073134"	"Di(2-ethylbutyl) adipate"	5620	"point estimate"
"100237-68-1"	"DTXSID00143047"	"1-Phthalazinamine, N-(2,2-dimethylpropyl)-4-phenyl-"	8000	"limit test (greater than)"
"10024-70-1"	NA	NA	3030	"point estimate"
"10024-78-9"	NA	NA	730	"point estimate"
"10029-04-6"	"DTXSID00143108"	"Acrylic acid, 2-(hydroxymethyl)-, ethyl ester"	620	"point estimate"
"100299-08-9"	"DTXSID7046623"	"Pemirolast potassium"	687	"point estimate"
"1003-14-1"	"DTXSID40883637"	"Oxirane, 2-propyl-"	1327	"point estimate"
"1003-14-1"	"DTXSID40883637"	"Oxirane, 2-propyl-"	1460	"point estimate"
"1003-14-1"	"DTXSID40883637"	"Oxirane, 2-propyl-"	1620	"point estimate"
"1003-40-3"	"DTXSID70143115"	"Pyridine, 4-amino-, hydrochloride"	32	"point estimate"
"1003-52-7"	"DTXSID90143117"	"4-Methyloxazole-5-carbonitrile"	735	"point estimate"
"10031-58-0"	NA	NA	540	"point estimate"
"10031-96-6"	"DTXSID50143133"	"Eugenyl formate"	3400	"point estimate"
"10032-15-2"	"DTXSID4047599"	"Hexyl 2-methylbutanoate"	5000	"limit test (greater than)"
"100365-72-8"	"DTXSID10143235"	"1H-Pyrazole-1-carboxamide, 3(or 5)-methyl-"	830	"point estimate"
"1003859-14-0"	NA	NA	2000	"limit test (greater than)"
"10040-45-6"	"DTXSID7048663"	"Picosulfate sodium"	11300	"point estimate"
"10042-77-0"	"DTXSID80143262"	"Sulfamic acid, 2-aminoethyl ester"	7460	"point estimate"
"10048-13-2"	"DTXSID2021280"	"Sterigmatocystin"	120	"point estimate"
"10048-13-2"	"DTXSID2021280"	"Sterigmatocystin"	166	"point estimate"
"100482-70-0"	"DTXSID10143331"	"Butylamine, N,N-bis(2-chloroethyl)-4-chloro-, N-oxide, hydrochloride"	30	"point estimate"
"10049-60-2"	NA	NA	4600	"point estimate"
"10049-83-9"	"DTXSID1046550"	"Pyrithioxin dihydrochloride"	6000	"point estimate"
"1005-67-0"	"DTXSID5044499"	"4-Butylmorpholine"	338	"point estimate"
"1005-93-2"	"DTXSID5058270"	"Etbicyphat"	3.08	"point estimate"
"100537-30-2"	"DTXSID30143373"	"Phthalazine, 1-phenoxy-"	1000	"point estimate"
"10058-20-5"	"DTXSID40143400"	"Succinic acid, bis(2-(hexyloxy)ethyl) ester"	4280	"point estimate"
"100596-38-1"	"DTXSID10143417"	"1,3-Benzenedicarboxylic acid, 5-(2-amino-4-(methoxycarbonyl)phenoxy)-, dimethyl ester"	10000	"limit test (greater than)"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	78	"point estimate"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	85	"point estimate"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	93	"point estimate"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	117	"point estimate"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	121	"point estimate"
"10061-01-5"	"DTXSID1032305"	"(Z)-Dichloropropene"	126	"point estimate"
"100678-32-8"	"DTXSID0047820"	"Cifenline succinate"	359	"point estimate"
"100706-81-8"	"DTXSID90143475"	"Teomorfolin"	5000	"limit test (greater than)"
"100751-82-4"	"DTXSID30143494"	"Restacorin"	980	"point estimate"
"10081-67-1"	"DTXSID0027721"	"4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline"	2000	"limit test (greater than)"
"10085-81-1"	"DTXSID60143543"	"Benzoctamine hydrochloride"	700	"point estimate"
"10086-50-7"	NA	NA	5410	"point estimate"
"1009-93-4"	"DTXSID4037748"	"2,2,4,4,6,6-Hexamethyl-1,3,5,2,4,6-triazatrisilinane"	500	"point estimate"
"100924-68-3"	NA	NA	1300	"point estimate"
"10097-02-6"	"DTXSID8064939"	"Butanoic acid, 2,2-bis(hydroxymethyl)-"	2000	"limit test (greater than)"
"10097-26-4"	NA	NA	26000	"point estimate"
"100981-43-9"	"DTXSID80143601"	"Ebrotidine"	8000	"limit test (greater than)"
"100986-85-4"	"DTXSID0041060"	"Levofloxacin"	1478	"point estimate"
"10099-72-6"	NA	NA	2830	"point estimate"
"101-02-0"	"DTXSID0026252"	"Triphenyl phosphite"	444	"point estimate"
"101-02-0"	"DTXSID0026252"	"Triphenyl phosphite"	1600	"point estimate"
"101-05-3"	"DTXSID9020089"	"Anilazine"	2700	"point estimate"
"101-05-3"	"DTXSID9020089"	"Anilazine"	4000	"limit test (greater than)"
"101-10-0"	"DTXSID9034232"	"Cloprop"	750	"limit test (greater than)"
"101-14-4"	"DTXSID5020865"	"4,4'-Methylenebis(2-chloroaniline)"	1140	"point estimate"
"101-20-2"	"DTXSID4026214"	"Triclocarban"	2000	"limit test (greater than)"
"101-20-2"	"DTXSID4026214"	"Triclocarban"	2000	"point estimate"
"101-20-2"	"DTXSID4026214"	"Triclocarban"	34600	"limit test (greater than)"
"101-25-7"	"DTXSID5020526"	"N,N-Dinitrosopentamethylenetetramine"	940	"point estimate"
"101-26-8"	"DTXSID9023540"	"Pyridostigmine bromide"	37.5	"point estimate"
"101-27-9"	"DTXSID3041617"	"Barban"	527	"point estimate"
"101-27-9"	"DTXSID3041617"	"Barban"	1376	"limit test (greater than)"
"101-27-9"	"DTXSID3041617"	"Barban"	1429	"limit test (less than)"
"101-37-1"	"DTXSID8037754"	"2,4,6-Tris(allyloxy)-1,3,5-triazine"	590	"point estimate"
"101-37-1"	"DTXSID8037754"	"2,4,6-Tris(allyloxy)-1,3,5-triazine"	753	"point estimate"
"101-37-1"	"DTXSID8037754"	"2,4,6-Tris(allyloxy)-1,3,5-triazine"	927	"point estimate"
"101-40-6"	"DTXSID1023526"	"Propylhexedrine"	83	"point estimate"
"101-41-7"	"DTXSID1044352"	"Methyl phenylacetate"	2550	"point estimate"
"101-42-8"	"DTXSID7037551"	"Fenuron"	4000	"limit test (greater than)"
"101-42-8"	"DTXSID7037551"	"Fenuron"	5700	"limit test (less than)"
"101-42-8"	"DTXSID7037551"	"Fenuron"	6400	"point estimate"
"101-42-8"	"DTXSID7037551"	"Fenuron"	7500	"point estimate"
"101-49-5"	"DTXSID1059230"	"1,3-Dioxolane, 2-(phenylmethyl)-"	2200	"point estimate"
"101-50-8"	"DTXSID6059231"	"Benzenesulfonic acid, 2-amino-5-[(4-sulfophenyl)azo]-"	14800	"point estimate"
"101-54-2"	"DTXSID7025895"	"N-Phenyl-1,4-benzenediamine"	464	"point estimate"
"101-54-2"	"DTXSID7025895"	"N-Phenyl-1,4-benzenediamine"	720	"point estimate"
"101-54-2"	"DTXSID7025895"	"N-Phenyl-1,4-benzenediamine"	847	"point estimate"
"101-70-2"	"DTXSID3025093"	"4,4'-Dimethoxydiphenylamine"	2470	"point estimate"
"101-72-4"	"DTXSID1025485"	"N-Isopropyl-N'-phenyl-p-phenylenediamine"	720	"point estimate"
"101-72-4"	"DTXSID1025485"	"N-Isopropyl-N'-phenyl-p-phenylenediamine"	800	"point estimate"
"101-72-4"	"DTXSID1025485"	"N-Isopropyl-N'-phenyl-p-phenylenediamine"	1620	"point estimate"
"101-76-8"	"DTXSID6059239"	"Bis(4-chlorophenyl)methane"	1000	"point estimate"
"101-77-9"	"DTXSID6022422"	"4,4'-Methylenedianiline"	120	"limit test (greater than)"
"101-77-9"	"DTXSID6022422"	"4,4'-Methylenedianiline"	250	"limit test (less than)"
"101-77-9"	"DTXSID6022422"	"4,4'-Methylenedianiline"	517	"point estimate"
"101-80-4"	"DTXSID0021094"	"4,4'-Oxydianiline"	675	"limit test (greater than)"
"101-80-4"	"DTXSID0021094"	"4,4'-Oxydianiline"	725	"point estimate"
"101-80-4"	"DTXSID0021094"	"4,4'-Oxydianiline"	775	"limit test (less than)"
"101-81-5"	"DTXSID1041891"	"Diphenylmethane"	2250	"point estimate"
"101-83-7"	"DTXSID6025018"	"Dicyclohexylamine"	373	"point estimate"
"101-84-8"	"DTXSID9021847"	"Diphenyl oxide"	2450	"point estimate"
"101-84-8"	"DTXSID9021847"	"Diphenyl oxide"	2490	"limit test (greater than)"
"101-84-8"	"DTXSID9021847"	"Diphenyl oxide"	2830	"point estimate"
"101-84-8"	"DTXSID9021847"	"Diphenyl oxide"	3210	"limit test (less than)"
"101-84-8"	"DTXSID9021847"	"Diphenyl oxide"	3990	"point estimate"
"101-85-9"	"DTXSID2049393"	"alpha-Amylcinnamyl alcohol"	4000	"point estimate"
"101-86-0"	"DTXSID4026684"	"2-Benzylideneoctanal"	3100	"point estimate"
"101-87-1"	"DTXSID2051508"	"N-Cyclohexyl-N'-phenyl-4-phenylenediamine"	2000	"limit test (greater than)"
"101-90-6"	"DTXSID2020470"	"Diglycidyl resorcinol ether"	2570	"point estimate"
"101-94-0"	"DTXSID7051509"	"4-Tolyl phenylacetate"	5000	"limit test (greater than)"
"101-97-3"	"DTXSID6044353"	"Ethyl phenylacetate"	3300	"point estimate"
"101007-06-1"	"DTXSID3041584"	"Acrinathrin"	5000	"limit test (greater than)"
"101030-71-1"	NA	NA	1580	"point estimate"
"101030-72-2"	"DTXSID90143692"	"Crotonanilide, 4'-hydroxy-3-methyl-"	1950	"point estimate"
"101043-37-2"	"DTXSID3031654"	"Microcystin LR"	5	"limit test (greater than)"
"101152-94-7"	"DTXSID4046785"	"Milnacipran hydrochloride"	213	"point estimate"
"101155-02-6"	"DTXSID50143759"	"9-(2-Fluorobenzyl)-6-(methylamino)-9H-purine"	1000	"limit test (greater than)"
"101205-02-1"	"DTXSID0057918"	"Cycloxydim"	3940	"point estimate"
"101238-01-1"	"DTXSID70554727"	"2,2,6,6-Tetramethylpiperidin-4-yl dodecanoate"	2000	"limit test (greater than)"
"1013-99-6"	"DTXSID10143831"	"4H-Pyran-4-one, 2-methyl-6-phenyl-"	625	"point estimate"
"10137-69-6"	"DTXSID60884449"	"Cyclohexene, 4-(trichlorosilyl)-"	2830	"point estimate"
"10137-80-1"	NA	NA	2410	"point estimate"
"10137-87-8"	NA	NA	360	"point estimate"
"10137-90-3"	"DTXSID70884450"	"3-Nonen-2-one, 5-ethyl-"	8120	"point estimate"
"10138-47-3"	NA	NA	2280	"point estimate"
"10138-74-6"	NA	NA	4920	"point estimate"
"10138-79-1"	"DTXSID90884452"	"Silane, tris(2-chloroethoxy)-"	190	"point estimate"
"10138-87-1"	NA	NA	2940	"point estimate"
"1014-69-3"	"DTXSID6041842"	"Desmetryn"	1390	"point estimate"
"1014-69-3"	"DTXSID6041842"	"Desmetryn"	2000	"point estimate"
"1014-70-6"	"DTXSID8037596"	"Simetryn"	750	"point estimate"
"1014-98-8"	"DTXSID60143907"	"Isocyanic acid, p-xylylene ester"	4500	"point estimate"
"10140-75-7"	NA	NA	320	"point estimate"
"10140-89-3"	NA	NA	160	"point estimate"
"10140-90-6"	NA	NA	380	"point estimate"
"10140-93-9"	NA	NA	25	"point estimate"
"10140-99-5"	NA	NA	1320	"point estimate"
"10141-07-8"	NA	NA	2590	"point estimate"
"10141-15-8"	NA	NA	3200	"point estimate"
"10141-19-2"	NA	NA	1220	"point estimate"
"10143-60-9"	"DTXSID5042035"	"Bis(2-ethylhexyl) ether"	34000	"point estimate"
"10143-67-6"	"DTXSID50143931"	"Acetaldehyde, bis(2-methoxyethyl) acetal"	3260	"point estimate"
"101463-69-8"	"DTXSID1041978"	"Flufenoxuron"	3000	"limit test (greater than)"
"101463-69-8"	"DTXSID1041978"	"Flufenoxuron"	5000	"limit test (greater than)"
"101477-54-7"	"DTXSID1046427"	"Lomerizine dihydrochloride"	307	"point estimate"
"101526-62-9"	"DTXSID6049016"	"Sematilide monohydrochloride"	3200	"point estimate"
"101530-10-3"	"DTXSID6046428"	"Lanoconazole"	652	"point estimate"
"1016-46-2"	"DTXSID70144041"	"Carbamic acid, dimethyl-, benzo(b)thien-4-yl ester"	34	"point estimate"
"101670-73-9"	NA	NA	7.5	"point estimate"
"101670-74-0"	NA	NA	3	"point estimate"
"101708-01-4"	"DTXSID00144135"	"1H-Pyrazole-3-carboxamide, 5-methyl-N-(2-(trifluoromethyl)phenyl)-"	2000	"limit test (greater than)"
"101708-02-5"	"DTXSID60144136"	"1H-Pyrazolecarboxamide, 5-methyl-N-(3-(trifluoromethyl)phenyl)-"	2000	"limit test (greater than)"
"101708-05-8"	"DTXSID80144138"	"5-Pyrazolecarboxamide, N-(2,3-dimethylphenyl)-5-methyl-"	2000	"limit test (greater than)"
"10171-78-5"	NA	NA	5660	"point estimate"
"10175-31-2"	NA	NA	300	"limit test (greater than)"
"10175-31-2"	NA	NA	2000	"limit test (less than)"
"10176-39-3"	"DTXSID80144173"	"Gitoformate"	39.01	"point estimate"
"1018-71-9"	"DTXSID9046867"	"Pyrrolnitrin"	2000	"limit test (greater than)"
"101827-46-7"	"DTXSID2048589"	"Butenafine hydrochloride"	4000	"limit test (greater than)"
"101893-08-7"	"DTXSID40144316"	"Morpholine, 4-(2-(5-bromo-2-pentyloxybenzyloxy)ethyl)-"	1200	"point estimate"
"10193-95-0"	"DTXSID8064987"	"Acetic acid, mercapto-, 1,4-butanediyl ester"	405	"point estimate"
"101952-85-6"	NA	NA	2000	"limit test (greater than)"
"101952-86-7"	"DTXSID80144431"	"Hexestrol diphosphate sodium"	2000	"point estimate"
"102-01-2"	"DTXSID0024397"	"Acetoacetanilide"	1331	"limit test (greater than)"
"102-01-2"	"DTXSID0024397"	"Acetoacetanilide"	2450	"point estimate"
"102-01-2"	"DTXSID0024397"	"Acetoacetanilide"	5400	"limit test (less than)"
"102-06-7"	"DTXSID3025178"	"1,3-Diphenylguanidine"	107	"point estimate"
"102-06-7"	"DTXSID3025178"	"1,3-Diphenylguanidine"	111	"point estimate"
"102-06-7"	"DTXSID3025178"	"1,3-Diphenylguanidine"	323	"point estimate"
"102-06-7"	"DTXSID3025178"	"1,3-Diphenylguanidine"	375	"point estimate"
"102-09-0"	"DTXSID3020540"	"Diphenylcarbonate"	1500	"point estimate"
"102-13-6"	"DTXSID6051512"	"Isobutyl phenylacetate"	5000	"limit test (greater than)"
"102-17-0"	"DTXSID5059246"	"Benzeneacetic acid, (4-methoxyphenyl)methyl ester"	5000	"limit test (greater than)"
"102-20-5"	"DTXSID0044494"	"2-Phenylethyl phenylacetate"	15000	"point estimate"
"102-22-7"	"DTXSID1051513"	"(1E)-2,6-Dimethylhepta-1,5-dien-1-yl phenylacetate"	5000	"limit test (greater than)"
"102-24-9"	"DTXSID6051514"	"Trimethoxycyclotriboroxane"	5160	"point estimate"
"102-27-2"	"DTXSID4021848"	"N-Ethyl-3-methylaniline"	580	"point estimate"
"102-30-7"	"DTXSID9042091"	"Lauryldimethyldichlorobenzylammonium chloride"	730	"point estimate"
"102-71-6"	"DTXSID9021392"	"Triethanolamine"	5530	"point estimate"
"102-71-6"	"DTXSID9021392"	"Triethanolamine"	8000	"point estimate"
"102-81-8"	"DTXSID2024953"	"2-(Dibutylamino)ethanol"	1070	"point estimate"
"102-83-0"	"DTXSID8059261"	"1,3-Propanediamine, N,N-dibutyl-"	820	"point estimate"
"102-84-1"	"DTXSID3059262"	"Phosphorous acid, tri-2-propenyl ester"	178	"point estimate"
"102-85-2"	"DTXSID7051474"	"Tributyl phosphite"	3000	"point estimate"
"1020-35-5"	NA	NA	35	"point estimate"
"102071-30-7"	NA	NA	400	"point estimate"
"1021-19-8"	NA	NA	1750	"point estimate"
"10213-74-8"	"DTXSID20144677"	"Propionic acid, 3-(2-ethylbutoxy)-"	3730	"point estimate"
"10213-75-9"	"DTXSID6025303"	"3-((2-Ethylhexyl)oxy)propionitrile"	4920	"point estimate"
"102207-73-8"	"DTXSID20144793"	"Pyrimidine, 2-amino-4-(2-dibutylaminoethoxy)-"	1000	"point estimate"
"102207-77-2"	"DTXSID00144796"	"Pyrimidine, 2-amino-4-(2-dimethylaminoethoxy)-"	1500	"point estimate"
"102251-91-2"	"DTXSID60144833"	"SC 42867"	3000	"limit test (greater than)"
"102268-15-5"	"DTXSID8029072"	"5-Ethyl-2,3-pyridinedicarboxylic acid"	3353	"point estimate"
"10232-91-4"	"DTXSID10144904"	"Propionitrile, 3-(2-ethylbutoxy)-"	2460	"point estimate"
"10232-92-5"	NA	NA	310	"point estimate"
"10232-93-6"	NA	NA	3340	"point estimate"
"102324-40-3"	NA	NA	900	"point estimate"
"10235-09-3"	"DTXSID00144933"	"O,O,O-Tris(2-chloroethyl) phosphorothioate"	820	"point estimate"
"102366-79-0"	"DTXSID10144944"	"Adenine, 7,8-dihydro-N-benzyl-"	2100	"point estimate"
"10238-21-8"	"DTXSID0037237"	"Glybenclamide"	20000	"limit test (greater than)"
"102394-31-0"	"DTXSID0045674"	"AF-DX 116"	1533	"point estimate"
"1024-57-3"	"DTXSID1024126"	"Heptachlor epoxide"	15	"point estimate"
"102410-20-8"	"DTXSID50145051"	"Glycine, N,N-dimethyl-, ((6-chloroimidazo(2,1-b)thiazol-5-yl)methylene)hydrazide"	1500	"point estimate"
"102410-37-7"	"DTXSID70145053"	"Glycine, N,N-dimethyl-, ((2,3-dihydro-6-methylimidazo(2,1-b)thiazol-5-yl)methylene)hydrazide"	1000	"limit test (greater than)"
"102410-39-9"	NA	NA	800	"point estimate"
"102410-40-2"	"DTXSID30145054"	"Glycine, N,N-dimethyl-, ((2,3-dihydro-6-chloroimidazo(2,1-b)thiazol-5-yl)methylene)hydrazide"	1000	"limit test (greater than)"
"1025-15-6"	"DTXSID0026175"	"Triallyl isocyanurate"	707	"point estimate"
"1025-15-6"	"DTXSID0026175"	"Triallyl isocyanurate"	812	"point estimate"
"1025-15-6"	"DTXSID0026175"	"Triallyl isocyanurate"	1000	"point estimate"
"102518-79-6"	"DTXSID8046038"	"Huperzine A"	15	"point estimate"
"10254-57-6"	"DTXSID5029718"	"Methylene dibutyldithiocarbamate"	16000	"limit test (greater than)"
"102579-43-1"	NA	NA	750	"limit test (greater than)"
"102601-34-3"	"DTXSID20648387"	"Sodium 3-(cyclohexylamino)-2-hydroxypropane-1-sulfonate"	2000	"limit test (greater than)"
"10262-69-8"	"DTXSID7045029"	"Maprotiline"	760	"limit test (greater than)"
"10262-69-8"	"DTXSID7045029"	"Maprotiline"	760	"point estimate"
"10262-69-8"	"DTXSID7045029"	"Maprotiline"	1050	"limit test (less than)"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	7.5	"point estimate"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	11	"point estimate"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	14	"point estimate"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	16	"point estimate"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	25	"point estimate"
"10265-92-6"	"DTXSID6024177"	"Methamidophos"	27	"point estimate"
"10265-93-7"	NA	NA	5	"point estimate"
"102676-31-3"	"DTXSID4020618"	"Fadrozole hydrochloride"	200	"point estimate"
"10268-78-7"	"DTXSID10145451"	"Acetamide, N,N'-m-phenylenebis- (6CI,7CI,8CI)"	10700	"point estimate"
"10291-28-8"	"DTXSID4065024"	"2,5-Di-p-toluidinoterephthalic acid"	5000	"limit test (greater than)"
"102938-79-4"	NA	NA	8474	"point estimate"
"103-05-9"	"DTXSID3021851"	"2-Methyl-4-phenylbutan-2-ol"	2200	"point estimate"
"103-07-1"	"DTXSID6051518"	"1,1-Dimethyl-3-phenylpropyl acetate"	4850	"point estimate"
"103-09-3"	"DTXSID8026694"	"2-Ethylhexyl acetate"	3000	"point estimate"
"103-11-7"	"DTXSID9025297"	"2-Ethylhexyl acrylate"	4435	"point estimate"
"103-11-7"	"DTXSID9025297"	"2-Ethylhexyl acrylate"	5600	"point estimate"
"103-11-7"	"DTXSID9025297"	"2-Ethylhexyl acrylate"	5720	"point estimate"
